iter	Passed	Remaining
0	15	15507
1	20	10465
2	26	8750
3	31	7946
4	37	7373
5	42	6980
6	47	6687
7	51	6444
8	56	6260
9	62	6152
10	67	6052
11	72	5942
12	77	5891
13	83	5850
14	89	5846
15	91	5646
16	97	5658
17	103	5664
18	109	5661
19	115	5656
20	120	5636
21	126	5619
22	131	5601
23	138	5627
24	144	5631
25	150	5622
26	155	5611
27	161	5607
28	167	5591
29	172	5587
30	178	5567
31	183	5555
32	189	5543
33	194	5532
34	200	5520
35	206	5522
36	211	5509
37	217	5503
38	223	5501
39	229	5498
40	235	5497
41	240	5485
42	245	5474
43	251	5469
44	257	5462
45	263	5458
46	268	5449
47	275	5459
48	281	5460
49	286	5449
50	292	5449
51	298	5443
52	304	5442
53	310	5437
54	316	5429
55	321	5426
56	327	5421
57	333	5411
58	339	5408
59	344	5402
60	350	5401
61	357	5402
62	363	5399
63	368	5392
64	374	5384
65	379	5367
66	384	5352
67	390	5347
68	396	5343
69	401	5336
70	407	5327
71	413	5323
72	418	5319
73	425	5318
74	430	5315
75	436	5310
76	442	5308
77	448	5302
78	454	5294
79	459	5288
80	465	5281
81	471	5275
82	477	5274
83	482	5265
84	488	5260
85	494	5250
86	499	5244
87	506	5244
88	511	5239
89	517	5232
90	522	5223
91	528	5217
92	534	5209
93	539	5203
94	545	5198
95	551	5191
96	557	5189
97	563	5182
98	568	5176
99	574	5170
100	580	5165
101	586	5162
102	592	5157
103	598	5153
104	603	5145
105	609	5141
106	615	5133
107	620	5126
108	626	5121
109	632	5115
110	637	5109
111	643	5104
112	649	5099
113	655	5093
114	661	5088
115	666	5081
116	672	5077
117	678	5073
118	684	5066
119	689	5058
120	695	5051
121	700	5044
122	706	5037
123	712	5030
124	717	5022
125	723	5017
126	728	5009
127	734	5001
128	739	4995
129	745	4988
130	751	4985
131	757	4981
132	763	4974
133	768	4967
134	774	4961
135	780	4958
136	786	4953
137	791	4946
138	797	4939
139	803	4932
140	808	4927
141	814	4922
142	820	4916
143	826	4910
144	831	4903
145	837	4900
146	842	4891
147	849	4888
148	855	4884
149	860	4878
150	866	4871
151	871	4864
152	877	4857
153	883	4851
154	889	4846
155	894	4839
156	900	4833
157	905	4827
158	911	4822
159	917	4815
160	922	4809
161	928	4804
162	935	4801
163	940	4796
164	947	4792
165	953	4788
166	959	4785
167	965	4779
168	970	4773
169	976	4769
170	982	4765
171	988	4760
172	1011	4833
173	1016	4825
174	1022	4819
175	1027	4811
176	1032	4803
177	1038	4796
178	1044	4791
179	1050	4787
180	1056	4782
181	1063	4777
182	1068	4772
183	1074	4766
184	1080	4760
185	1086	4754
186	1092	4748
187	1098	4744
188	1105	4742
189	1111	4736
190	1117	4732
191	1123	4729
192	1129	4724
193	1135	4719
194	1141	4713
195	1147	4708
196	1153	4700
197	1158	4693
198	1164	4687
199	1170	4680
200	1175	4673
201	1181	4666
202	1186	4659
203	1192	4651
